id,name,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,genres
3zkyus0njMCL6phZmNNEeN,LET GO,0.859,0.735,0.449,0.0,2,0.213,-9.933,0,0.383,146.016,0.514,"['melodic drill', 'r&drill']"
2t6IxTASaSFkZEt61tQ6W6,PLAYA DEL INGLÉS,0.0822,0.793,0.736,0.0,7,0.109,-3.254,0,0.0469,112.993,0.656,"['rap canario', 'trap latino', 'urbano latino', 'reggaeton', 'trap latino', 'urbano latino']"
0C4UEONd2UXucUZM1r821G,Ascensor,0.685,0.741,0.6,9.05e-06,11,0.108,-4.812,0,0.192,165.111,0.571,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
7eDVXAFMt2EERfXy9i63T1,Monstruo,0.775,0.642,0.49,3.04e-05,1,0.0797,-8.016,1,0.117,87.847,0.276,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
3M2Uxu8sbTwgznw6anIxB9,Borracha & Loca,0.19,0.488,0.764,5.73e-05,1,0.0502,-5.012,1,0.0528,104.992,0.964,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'urbano latino']"
672zDo2nzWSoIIQ7zD5kuj,La Pasamos CXBRXN,0.117,0.785,0.734,1.13e-06,6,0.185,-4.686,1,0.0778,94.049,0.561,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino', 'reggaeton', 'urbano latino']"
76Oz7riVeTOze5U1ceIt41,CORAZÓN DESPEINADO,0.179,0.636,0.874,0.0,1,0.661,-3.687,1,0.269,169.986,0.7,"['puerto rican pop', 'reggaeton', 'trap latino', 'urbano latino']"
2oiixB9QMIzhWaHGVlQx4g,Yandel 150,0.0492,0.783,0.729,0.000272,6,0.1,-3.549,0,0.0691,167.968,0.58,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino', 'colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
4knQ8BjJPJd0KMgB6jTx6x,Acelera,0.331,0.836,0.733,3.3e-06,10,0.0935,-5.467,1,0.047,145.003,0.577,"['rap espanol', 'rap espanol']"
3PpWCS95gDUDRPko3u1MZ9,Prohibidox,0.0451,0.647,0.801,0.0,1,0.0628,-2.946,0,0.249,180.108,0.517,"['colombian pop', 'pop reggaeton', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
4PebMwMNX1PihebCn1Grii,Party en el Barrio (feat. Duki),0.008,0.539,0.614,3.91e-06,10,0.328,-7.889,1,0.153,134.997,0.529,"['argentine hip hop', 'trap argentino', 'trap latino', 'urbano latino', 'argentine hip hop', 'trap argentino', 'trap latino', 'trap triste', 'urbano latino']"
4ZSa16sZFR9XlCKlXyMlKp,HIGH-CLASS ROOM,0.675,0.725,0.623,2.93e-05,11,0.15,-11.579,0,0.0998,134.138,0.795,['rap espanol']
5iaFGC7XdmWmfwxV9JUPY6,JS4E,0.36,0.762,0.773,0.0,7,0.272,-7.663,0,0.0814,115.055,0.337,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
4LIT5GUMbNmBO6nbK9gRIc,Cuando Acabe la Noche,0.479,0.764,0.508,8.32e-05,11,0.0952,-9.343,0,0.346,102.028,0.596,['rap espanol']
5OAUEIwUw1TsoeCkoI1hbo,Nuevo,0.467,0.826,0.908,0.0,7,0.173,-2.467,1,0.243,99.981,0.865,"['reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino', 'trap latino', 'urbano latino']"
4UZCqJJ0m4BpA9HCLgws5o,Los Angeles,0.291,0.776,0.665,0.0,11,0.162,-6.078,0,0.396,98.211,0.872,"['reggaeton', 'trap latino', 'urbano latino']"
44nKSGMNqVFV6a60skPUad,El Joseo,0.173,0.766,0.571,2.21e-06,7,0.0487,-5.276,1,0.211,176.039,0.96,"['reggaeton', 'trap latino', 'urbano latino']"
24PUqZJcXUjByIybGftoHZ,LUCES AZULES,0.253,0.659,0.704,2.18e-06,1,0.133,-5.85,1,0.0409,122.951,0.15,"['rap canario', 'trap latino', 'urbano latino']"
5yocaqYG38qpSSxV1t0o3D,DAME,0.368,0.742,0.508,2.72e-05,4,0.115,-5.705,1,0.0539,98.017,0.31,"['rap canario', 'trap latino', 'urbano latino', 'flamenco urbano', 'pop flamenco', 'urbano espanol']"
0ncCaYom8GIvfCjuecL2eP,JETSKI - Remix,0.314,0.533,0.653,0.0,8,0.109,-6.72,0,0.227,80.455,0.586,"['trap latino', 'urbano latino', 'trap boricua', 'trap latino', 'urbano latino', 'reggaeton', 'reggaeton flow', 'trap latino', 'urbano latino', 'trap latino', 'urbano latino']"
3vO1n7aG64DPr6XBkr2GVk,Fuck&Bye,0.751,0.606,0.499,0.0,0,0.169,-9.015,0,0.623,123.681,0.556,['dembow dominicano']
